date fips state cases deaths
2020-02-29 31 Nebraska 13 0
2020-02-29 41 Oregon 1 0
2020-02-29 48 Texas 11 0
2020-02-29 49 Utah 1 0
2020-02-29 53 Washington 10 1
2020-02-29 55 Wisconsin 1 0
2020-03-01 04 Arizona 1 0
2020-03-01 06 California 33 0
2020-03-01 12 Florida 2 0
2020-03-01 17 Illinois 3 0
2020-03-01 25 Massachusetts 1 0
2020-03-01 31 Nebraska 13 0
2020-03-01 36 New York 1 0
2020-03-01 41 Oregon 2 0
2020-03-01 44 Rhode Island 2 0
2020-03-01 48 Texas 11 0
2020-03-01 49 Utah 1 0
2020-03-01 53 Washington 17 3
2020-03-01 55 Wisconsin 1 0
2020-03-02 04 Arizona 1 0
2020-03-02 06 California 38 0
2020-03-02 12 Florida 2 0
2020-03-02 13 Georgia 2 0
2020-03-02 17 Illinois 4 0
2020-03-02 25 Massachusetts 2 0
2020-03-02 31 Nebraska 13 0
2020-03-02 33 New Hampshire 1 0
2020-03-02 36 New York 1 0
2020-03-02 41 Oregon 2 0
2020-03-02 44 Rhode Island 2 0
2020-03-02 48 Texas 11 0
2020-03-02 49 Utah 1 0
2020-03-02 53 Washington 23 6
2020-03-02 55 Wisconsin 1 0
2020-03-03 04 Arizona 2 0
2020-03-03 06 California 45 0
2020-03-03 12 Florida 3 0
2020-03-03 13 Georgia 2 0
2020-03-03 17 Illinois 4 0
2020-03-03 25 Massachusetts 2 0
2020-03-03 31 Nebraska 13 0
2020-03-03 33 New Hampshire 2 0
2020-03-03 36 New York 2 0
2020-03-03 37 North Carolina 1 0
2020-03-03 41 Oregon 2 0
2020-03-03 44 Rhode Island 2 0
2020-03-03 48 Texas 11 0
2020-03-03 49 Utah 1 0
2020-03-03 53 Washington 32 10
2020-03-03 55 Wisconsin 1 0
2020-03-04 04 Arizona 2 0
2020-03-04 06 California 55 1
2020-03-04 12 Florida 3 0
2020-03-04 13 Georgia 2 0
2020-03-04 17 Illinois 4 0
2020-03-04 25 Massachusetts 2 0
2020-03-04 31 Nebraska 13 0
2020-03-04 33 New Hampshire 2 0
2020-03-04 34 New Jersey 1 0
2020-03-04 36 New York 11 0
2020-03-04 37 North Carolina 1 0
2020-03-04 41 Oregon 2 0
2020-03-04 44 Rhode Island 2 0
2020-03-04 48 Texas 12 0
2020-03-04 49 Utah 1 0
2020-03-04 53 Washington 47 11
2020-03-04 55 Wisconsin 1 0
2020-03-05 04 Arizona 2 0
2020-03-05 06 California 67 1
2020-03-05 08 Colorado 2 0
2020-03-05 12 Florida 4 0
2020-03-05 13 Georgia 2 0
2020-03-05 17 Illinois 5 0
2020-03-05 24 Maryland 3 0
2020-03-05 25 Massachusetts 3 0
2020-03-05 31 Nebraska 13 0
2020-03-05 32 Nevada 2 0
2020-03-05 33 New Hampshire 2 0
2020-03-05 34 New Jersey 2 0
2020-03-05 36 New York 22 0
2020-03-05 37 North Carolina 1 0
2020-03-05 41 Oregon 2 0
2020-03-05 44 Rhode Island 2 0
2020-03-05 47 Tennessee 1 0
2020-03-05 48 Texas 16 0
2020-03-05 49 Utah 1 0
2020-03-05 53 Washington 75 11
2020-03-05 55 Wisconsin 1 0
2020-03-06 04 Arizona 3 0
2020-03-06 06 California 81 1
2020-03-06 08 Colorado 8 0
2020-03-06 12 Florida 7 2
2020-03-06 13 Georgia 3 0
2020-03-06 15 Hawaii 1 0
2020-03-06 17 Illinois 6 0
2020-03-06 18 Indiana 1 0
2020-03-06 21 Kentucky 1 0
2020-03-06 24 Maryland 3 0
2020-03-06 25 Massachusetts 8 0
2020-03-06 27 Minnesota 1 0
2020-03-06 31 Nebraska 14 0
2020-03-06 32 Nevada 2 0
2020-03-06 33 New Hampshire 2 0
2020-03-06 34 New Jersey 4 0
2020-03-06 36 New York 44 0
2020-03-06 37 North Carolina 2 0
2020-03-06 40 Oklahoma 1 0
2020-03-06 41 Oregon 2 0
2020-03-06 42 Pennsylvania 2 0
2020-03-06 44 Rhode Island 3 0
2020-03-06 45 South Carolina 2 0
2020-03-06 47 Tennessee 1 0
2020-03-06 48 Texas 19 0
2020-03-06 49 Utah 3 0
2020-03-06 53 Washington 86 12
2020-03-06 55 Wisconsin 1 0
2020-03-07 04 Arizona 5 0
2020-03-07 06 California 100 1
2020-03-07 08 Colorado 8 0
2020-03-07 11 District of Columbia 1 0
2020-03-07 12 Florida 12 2
2020-03-07 13 Georgia 7 0
2020-03-07 15 Hawaii 1 0
2020-03-07 17 Illinois 6 0
2020-03-07 18 Indiana 1 0
2020-03-07 20 Kansas 1 0
2020-03-07 21 Kentucky 1 0
2020-03-07 24 Maryland 3 0
2020-03-07 25 Massachusetts 13 0
2020-03-07 27 Minnesota 1 0
2020-03-07 29 Missouri 1 0
2020-03-07 31 Nebraska 14 0
2020-03-07 32 Nevada 2 0
2020-03-07 33 New Hampshire 4 0
2020-03-07 34 New Jersey 4 0
2020-03-07 36 New York 89 0
2020-03-07 37 North Carolina 2 0
2020-03-07 40 Oklahoma 1 0
2020-03-07 41 Oregon 6 0
2020-03-07 42 Pennsylvania 4 0
2020-03-07 44 Rhode Island 3 0
2020-03-07 45 South Carolina 2 0
2020-03-07 47 Tennessee 1 0
2020-03-07 48 Texas 19 0
2020-03-07 49 Utah 3 0
2020-03-07 50 Vermont 1 0
2020-03-07 51 Virginia 1 0
2020-03-07 53 Washington 110 16
2020-03-07 55 Wisconsin 1 0
2020-03-08 04 Arizona 5 0
2020-03-08 06 California 112 1
2020-03-08 08 Colorado 8 0
2020-03-08 09 Connecticut 1 0
2020-03-08 11 District of Columbia 1 0
2020-03-08 12 Florida 13 2
2020-03-08 13 Georgia 11 0
2020-03-08 15 Hawaii 2 0
2020-03-08 17 Illinois 7 0
2020-03-08 18 Indiana 2 0
2020-03-08 19 Iowa 3 0
2020-03-08 20 Kansas 1 0
2020-03-08 21 Kentucky 4 0
2020-03-08 24 Maryland 5 0
2020-03-08 25 Massachusetts 28 0
2020-03-08 27 Minnesota 2 0
2020-03-08 29 Missouri 1 0
2020-03-08 31 Nebraska 16 0
2020-03-08 32 Nevada 4 0
2020-03-08 33 New Hampshire 4 0
2020-03-08 34 New Jersey 6 0
2020-03-08 36 New York 106 0
2020-03-08 37 North Carolina 2 0
2020-03-08 40 Oklahoma 1 0
2020-03-08 41 Oregon 13 0
2020-03-08 42 Pennsylvania 6 0
2020-03-08 44 Rhode Island 3 0
2020-03-08 45 South Carolina 6 0
2020-03-08 47 Tennessee 3 0
2020-03-08 48 Texas 23 0
2020-03-08 49 Utah 3 0
2020-03-08 50 Vermont 1 0
2020-03-08 51 Virginia 2 0
2020-03-08 53 Washington 141 19
2020-03-08 55 Wisconsin 1 0
2020-03-09 04 Arizona 6 0
2020-03-09 06 California 172 2
2020-03-09 08 Colorado 12 0
2020-03-09 09 Connecticut 2 0
2020-03-09 11 District of Columbia 4 0
2020-03-09 12 Florida 14 2
2020-03-09 13 Georgia 17 0
2020-03-09 15 Hawaii 2 0
2020-03-09 17 Illinois 11 0
2020-03-09 18 Indiana 4 0
2020-03-09 19 Iowa 8 0
2020-03-09 20 Kansas 1 0
2020-03-09 21 Kentucky 5 0
2020-03-09 22 Louisiana 1 0
2020-03-09 24 Maryland 6 0
2020-03-09 25 Massachusetts 41 0
2020-03-09 27 Minnesota 2 0
2020-03-09 29 Missouri 1 0
2020-03-09 31 Nebraska 16 0
2020-03-09 32 Nevada 4 0
2020-03-09 33 New Hampshire 4 0
2020-03-09 34 New Jersey 11 0
2020-03-09 36 New York 142 0
2020-03-09 37 North Carolina 7 0
2020-03-09 39 Ohio 3 0
2020-03-09 40 Oklahoma 1 0
2020-03-09 41 Oregon 13 0
2020-03-09 42 Pennsylvania 10 0
2020-03-09 44 Rhode Island 3 0
2020-03-09 45 South Carolina 7 0
2020-03-09 47 Tennessee 4 0
2020-03-09 48 Texas 24 0
2020-03-09 49 Utah 3 0
2020-03-09 50 Vermont 1 0
2020-03-09 51 Virginia 5 0
2020-03-09 53 Washington 179 22
2020-03-09 55 Wisconsin 2 0
2020-03-10 04 Arizona 6 0
2020-03-10 06 California 179 3
2020-03-10 08 Colorado 17 0
2020-03-10 09 Connecticut 2 0
2020-03-10 11 District of Columbia 4 0
2020-03-10 12 Florida 23 2
2020-03-10 13 Georgia 22 0
2020-03-10 15 Hawaii 2 0
2020-03-10 17 Illinois 19 0
2020-03-10 18 Indiana 6 0
